ID,RAW,Translate,
5795,Main apni zindagi se khush hu,I am happy with my life,
5796,Mai kal cinema dekhne ja raha hu,I am going to watch a movie tomorrow,
5797,Tumne kya khaya tha raat ko?,What did you eat last night?,
5798,Meri mummy itni pyari hai,My mother is so adorable,
5799,Aaj ka din bahut suhani hai,Today is a very beautiful day,
5800,Kya tum mujhe apna number de sakte ho?,Can you give me your number?,
5801,Woh bahut saare paise kamata hai,He earns a lot of money,
5802,Tumne khana banaya hai ya khareeda hai?,Did you cook the food or buy it?,
5803,Mai aaj subah bahut jaldi utha tha,I woke up very early this morning,
5804,Tumhara chehra bahut sundar hai,Your face is very beautiful,
5805,Unke ghar mein bahut saari kitabein hai,There are a lot of books in their house,
5806,Tumne apne birthday ke liye kya gift liya?,What gift did you get for your birthday?,
5807,Meri ankhon mein dard ho raha hai,My eyes are hurting,
5808,Mai bahut thak gaya hu,I am very tired,
5809,Tumne meri baat suni nahi,You didn't listen to me,
5810,Aaj ka mausam bahut accha hai,The weather today is very good,
5811,Woh mere se jyada acche marks laata hai,He gets better marks than me,
5812,Tum kya kar rahe ho abhi?,What are you doing right now?,
5813,Mai tumse pyar karta hu,I love you,
5814,Tumne apne sapne kab dekhe the?,When did you see your dreams?,
5815,Aaj mujhe bahut kaam tha,I had a lot of work today,
5816,Tumne mujhe kitni baar phone kiya?,How many times did you call me?,
5817,Woh bahut hi talented hai,He is very talented,
5818,Tumne kya likha hai usme?,What did you write in it?,
5819,Aaj mai nahi aaunga,I won't come today,
5820,Usne apna promise nahi nibhaya,He didn't keep his promise,
5821,Tumne apne sapno ko kab sach karoge?,When will you make your dreams come true?,
5822,Mai kuch nahi samjha,I didn't understand anything,
5823,Uski aankhon mein ansoo aaye,Tears came in her eyes,
5824,Diwali ka tyohaar bahut hi dhoom dhaam se manate hai,Diwali festival is celebrated with great pomp and show,
5825,Tumne chai me kitna cheeni dala hai?,How much sugar did you put in the tea?,
5826,Mai tumhe kabhi nahi chhodunga,I will never leave you,
5827,Tum mujhse jhoot bol rahe ho,You are lying to me,
5828,Uske paas bahut saare dost hai,He has a lot of friends,
5829,Tum kabhi nahi sudhroge,You will never improve,
5830,Mai thoda sa late aaunga,I will be a little late,
5831,Uske paas bahut saare paise hai,He has a lot of money,
5832,Usne mera dil tod diya,He broke my heart,
5833,Tumne dosti ki hai ya nafrat?,Do you have friendship or hatred?,
5834,Mai bahut khush hu,I am very happy,
5835,Uske chehre par muskan thi,There was a smile on his face,
5836,Tumne hamesha sahi kiya hai,You have always been right,
5837,Woh mujhe bahut yaad aata hai,I miss him a lot,
5838,Tumse milke bahut accha laga,It was nice meeting you,
5839,Usne mujhe bahut sunaya,He scolded me a lot,
5840,Tum bahut sundar lag rahi ho,You are looking very beautiful,
5841,Mai khana banane ki practice kar raha hu,I am practicing cooking,
5842,Woh mujhse bahut darta hai,He is very afraid of me,
5843,Tumne mere sapne ko pura kiya,You fulfilled my dreams,
5844,Aaj tum mere liye bahut khaas ho,Today you are very special to me,
5845,Usne mere se bahut zyada baat ki,He talked to me a lot,
5846,Mai karib do ghante se yaha hu,I am here for about two hours,
5847,Tumne apna ghar kab khareeda?,When did you buy your house?,
5848,Woh bahut hi intelligent hai,He is very intelligent,
5849,Tumne meri sari baat suni?,Did you hear everything I said?,
5850,Usne mujhe bahut saare tofe diye,He gave me a lot of gifts,
5851,Tumne usko kabhi pyar nahi kiya,You never loved her,
5852,Mai ek safar par ja raha hu,I am going on a journey,
5853,Woh bahut hi khatarnak hai,He is very dangerous,
5854,Tumne kya socha hai apne future ke baare me?,What are your thoughts about your future?,
5855,Uska ghar bahut accha hai,His house is very nice,
5856,Tum bahut jaldi ghabra jate ho,You get nervous very quickly,
5857,Mai unhe bahut miss kar raha hu,I am missing them a lot,
5858,Usne apna kaam bahut acche se kiya,He did his work very well,
5859,Tum bahut zyada khush ho,You are very happy,
5860,Woh bahut saare kaam kar sakta hai,He can do a lot of work,
5861,Tumne apni dil ki baat kab batayi?,When did you tell your heart's talk?,
5862,Mai kabhi nahi rukunga,I will never stop,
5863,Uski baatein bahut acchi hoti hai,Her words are very good,
5864,Tumhari help kab chahiye hogi?,When will you need my help?,
5865,Woh bahut hi honest hai,He is very honest,
5866,Tum bahut accha gaate ho,You sing very well,
5867,Mai uske baare me bahut kuch jaanta hu,I know a lot about him,
5868,Uski aankhen bahut hi sundar hai,Her eyes are very beautiful,
5869,Tumne apne birthday ke liye kya plan kiya hai?,What have you planned for your birthday?,
5870,Mai usse baat karne ki koshish kar raha hu,I am trying to talk to him,
5871,Woh bahut hi kind-hearted hai,He is very kind-hearted,
5872,Tumne apni life me kya achieve kiya hai?,What have you achieved in your life?,
5873,Usne apne sapne sach kar liye,He fulfilled his dreams,
5874,Tum mujhse bahut jyada pyar karte ho,You love me very much,
5875,Mai bahut hi excited hu,I am very excited,
5876,Uska chehra bahut hi sweet hai,His face is very sweet,
5877,Tumne kabhi kisi se pyar kiya hai?,Have you ever loved someone?,
5878,Mai kabhi bhi apni family ke liye kuch bhi kar sakta hu,I can do anything for my family anytime,
5879,Woh bahut hi lazy hai,He is very lazy,
5880,Tumne apna birthday kaise manaya?,How did you celebrate your birthday?,
5881,Mai aaj bahut hi busy hu,I am very busy today,
5882,Uske paas bahut hi jyada talent hai,He has a lot of talent,
5883,Tum bahut acchi handwriting rakhte ho,You have a very good handwriting,
5884,Mai apne ghar jaldi pahunch jaunga,I will reach my home early,
5885,Woh bahut hi confident hai,He is very confident,
5886,Tumhari aankhein bahut hi khoobsurat hai,Your eyes are very beautiful,
5887,Usne meri madad ki,He helped me,
5888,Mai tumse bahut pasand karta hu,I like you very much,
5889,Tumne apni life me kabhi risk liya hai?,Have you ever taken a risk in your life?,
5890,Woh hamesha late aata hai,He always comes late,
5891,Tumne kabhi kisi ka dil tooda hai?,Have you ever broken someone's heart?,
5892,Mai hamesha sach bolta hu,I always speak the truth,
5893,Usne mujhe bahut acche se samjha diya,He explained it to me very well,
5894,Tumhare sapne bahut hi acche hai,Your dreams are very good,
5895,Mai usko bahut miss karta hu,I miss him a lot,
5896,Uske paas bahut saare sapne hai,He has a lot of dreams,
5897,Tum bahut saare logo ke liye accha ho,You are good for a lot of people,
5898,Woh bahut hi doobara hai,He is very stubborn,
5899,Tumne kabhi bahut kuch sikha hai?,Have you ever learned a lot of things?,
5900,Mai apna best dene ki koshish karunga,I will try to give my best,
5901,Uske paas bahut saare ideas hai,He has a lot of ideas,
5902,Tum bahut saare books padhte ho,You read a lot of books,
5903,Mai unki baat kabhi nahi bhulunga,I will never forget their words,
5904,Usne apne kaam ke liye bahut mehnat ki hai,He worked very hard for his work,
5905,Tumne kabhi tofe diye hai?,Have you ever given gifts?,
5906,Mai hamesha bahut hi careful rehta hu,I always stay very careful,
5907,Woh bahut saare languages bol sakta hai,He can speak a lot of languages,
5908,Tumne apna future plan kiya hai?,Have you made your future plan?,
5909,Mai uski baatein bahut enjoy karta hu,I enjoy his words a lot,
5910,Uske paas bahut saare dost hai,She has a lot of friends,
5911,Tum bahut hi sweet ho,You are very sweet,
5912,Mai apne exams ke liye bahut hi hard work kar raha hu,I am working very hard for my exams,
5913,Woh bahut hi talented hai,He is very talented,
5914,Tumne kabhi bahut saare logo ke liye kaam kiya hai?,Have you ever worked for a lot of people?,
5915,Mai uske liye kuch special karunga,I will do something special for him,
5916,Mai kal subah der se uthunga,I will wake up late tomorrow morning,
5917,Tumhara phone bahut garam hai,Your phone is very hot,
5918,Usne uthai hui coffee pi,He drank the brewed coffee,
5919,Mera purse khoya hai,My purse is lost,
5920,Tumhare liye biryani banayi hai,I have made biryani for you,
5921,Wo kitne saal ke hai?,How old is he/she?,
5922,Hum sab garden me khelte hai,We all play in the garden,
5923,Tumhare favorite actor kaun hai?,Who is your favourite actor?,
5924,Mai kal office nahi jaunga,I will not go to office tomorrow,
5925,Aaj bahut garmi hai,It is very hot today,
5926,Tumhari t-shirt bahut sundar hai,Your t-shirt is very beautiful,
5927,Mera dil kuch kehna chahta hai,My heart wants to say something,
5928,Usne apna phone kho diya hai,He/she lost his/her phone,
5929,Main aaj bahut khush hu,I am very happy today,
5930,Tumne aaj khana banaya hai?,Did you cook food today?,
5931,Wo thak gaya hai,He is tired,
5932,Humare ghar ke paas market hai,There is a market near our house,
5933,Tumhare liye kuch meetha lekar aayi hu,I have brought something sweet for you,
5934,Wo bahut talented hai,He/She is very talented,
5935,Mai kitchen me khana bana rahi hu,I am cooking food in the kitchen,
5936,Tum subah se kya kar rahe ho?,What have you been doing since morning?,
5937,Uske paas bahut samay hai,He/she has a lot of time,
5938,Mere paas time nahi hai,I don't have time,
5939,Tum jaldi se taiyar ho jao,Get ready quickly,
5940,Wo apne friends ke saath hai,He/She is with his/her friends,
5941,Humne aaj bahut saari shopping ki hai,We did a lot of shopping today,
5942,Tum apne phone me game khelete ho,You play games on your phone,
5943,Mai shaam ko movie dekhne jaa raha hu,I am going to watch a movie in the evening,
5944,Tumhara phone kitne ghante ka charge rakhta hai?,How many hours does your phone stay charged?,
5945,Usne kitne paise diye hai?,How much money did he/she give?,
5946,Mai aaj ye dress pehnungi,I will wear this dress today,
5947,Wo bahut acha dancer hai,He/She is a very good dancer,
5948,Hum lunch ke baad rest karenge,We will rest after lunch,
5949,Tumne mere liye khana banaya hai?,Did you cook food for me?,
5950,Usne mujhe bahut tang kiya hai,He/She has troubled me a lot,
5951,Mai kal school jaungi,I will go to school tomorrow,
5952,Wo bahut pyaar karta hai,He/She loves a lot,
5953,Hum aaj forest me picnic karenge,We will do a picnic in the forest today,
5954,Tumne aaj kuch naya try kiya hai?,Have you tried something new today?,
5955,Usne bahut mehnat ki hai,He/She has worked hard a lot,
5956,Mai tumhe bahut pasand karti hu,I like you a lot,
5957,Tumne room ko saaf kiya hai?,Did you clean the room?,
5958,Wo apni book padh raha hai,He/She is reading his/her book,
5959,Humne aaj bahut kuch seekha hai,We have learned a lot today,
5960,Tumhe mujhpe pura bharosa hai?,Do you have complete trust on me?,
5961,Usne mujhe ye gift diya hai,He/She has given me this gift,
5962,Mai bahut der se aayi hu,I came very late,
5963,Tumhara pasandida rang kaunsa hai?,What is your favourite colour?,
5964,Wo hamesha late aata hai,He/She always comes late,
5965,Hum apna picnic spot khoj rahe hai,We are searching for our picnic spot,
5966,Tumhara favorite singer kaun hai?,Who is your favourite singer?,
5967,Usne bahut tez daud li,He/She ran very fast,
5968,Mai aaj subah hi uthi hu,I woke up early this morning,
5969,Tumne aaj kuch naya khaya hai?,Have you eaten something new today?,
5970,Wo bahut khubsurat hai,He/She is very beautiful,
5971,Hum sab picture ke liye intezaar kar rahe hai,We are waiting for the movie,
5972,Tumne mujhe aaj message kiya hai?,Did you message me today?,
5973,Usne mujhe invite nahi kiya hai,He/She didn't invite me,
5974,Mai apna makeup kar rahi hu,I am doing my make-up,
5975,Tumne apni car ka servicing karwaya hai?,Did you get your car serviced?,
5976,Wo bahut khush hai,He/She is very happy,
5977,Hum aaj bahut der tak baatein karenge,We will talk till late today,
5978,Tumne kabhi hiking ki hai?,Have you ever done hiking?,
5979,Usne mujhe bahut sukoon diya hai,He/She gave me a lot of peace,
5980,Mai faltu baatein nahi karna chahti hu,I don't want to talk nonsense,
5981,Tumne aaj kuch special kiya hai?,Did you do anything special today?,
5982,Wo bahut jaldi udhar ja raha hai,He is leaving very soon,
5983,Hum aaj bahut sardi mehsoos kar rahe hai,We are feeling very cold today,
5984,Tumne aaj apne dost ko call kiya hai?,Did you call your friend today?,
5985,Usne mujhe bahut hurt kiya hai,He/She hurt me a lot,
5986,Mai aaj bahut busy hu,I am very busy today,
5987,Tumhare paas pet dog hai?,Do you have a pet dog?,
5988,Wo bahut khushnaseeb hai,He/She is very lucky,
5989,Humne aaj beach par chalang lagaayi hai,We have jumped in the beach today,
5990,Tumne aaj TV dekha hai?,Have you watched TV today?,
5991,Usne mujhe bahut support kiya hai,He/She has supported me a lot,
5992,Mai aaj bahut thak gayi hu,I am very tired today,
5993,Tumhare paas cycle hai?,Do you have a cycle?,
5994,Wo bahut intelligent hai,He/She is very intelligent,
5995,Hum aaj bahut tension me hai,We are in a lot of tension today,
5996,Tumne aaj social media par kya kiya hai?,What did you do on social media today?,
5997,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
5998,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
5999,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6000,Wo bahut busy hai,He/She is very busy,
6001,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6002,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6003,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6004,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6005,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6006,Wo bahut busy hai,He/She is very busy,
6007,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6008,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6009,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6010,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6011,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6012,Wo bahut busy hai,He/She is very busy,
6013,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6014,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6015,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6016,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6017,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6018,Wo bahut busy hai,He/She is very busy,
6019,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6020,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6021,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6022,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6023,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6024,Wo bahut busy hai,He/She is very busy,
6025,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6026,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6027,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6028,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6029,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6030,Wo bahut busy hai,He/She is very busy,
6031,Humne picnic ke liye bahut saari cheezein saath lekar aayi hai,We have brought a lot of things for the picnic,
6032,Tumne aaj apne kaam ko finish kiya hai?,Have you finished your work today?,
6033,Usne mujhe bahut motivate kiya hai,He/She has motivated me a lot,
6034,Mai aaj bahut relax kar rahi hu,I am relaxing a lot today,
6035,Tumne ekdum sahi dress pehna hai,You are wearing the right dress,
6036,Usne apni salary ka ek dhela mujhe diya,He gave me a part of his salary,
6037,Main unse baat karna pasand karta hun,I like to talk to them,
6038,Tumne mujhe faltu mai padaya,You taught me unnecessarily,
6039,Mujhe tum par pura bharosa hai,I have complete faith in you,
6040,Usne mujhe dhokha diya,He cheated on me,
6041,Main sab kuch bhool chuka hun,I have forgotten everything,
6042,Uske pass bahut paisa hai,He has a lot of money,
6043,Main apni zindagi se khush nahi hun,I am not happy with my life,
6044,Uski shakal par anand tha,He was delighted on his face,
6045,Usne subah subah mujhe uthaya,He woke me up early in the morning,
6046,Main aaj kuch jyada hi thak gaya hun,I am too tired today,
6047,Tumne mujhe sab kuch sikhaya hai,You have taught me everything,
6048,Main abhi tak tumhara intezar kar raha hun,I am still waiting for you,
6049,Usne mere saath dhokha kiya hai,He cheated on me,
6050,Main apne ghar ka sapna dekh raha hun,I am dreaming of my own house,
6051,Usne mujhse kabhi nahi mila,He never met me,
6052,Main aaj bahut khush hun,I am very happy today,
6053,Usne mujhe maaf kar diya hai,He has forgiven me,
6054,Main unhe kabhi nahi bhulunga,I will never forget them,
6055,Usne mujhe koi tohfa diya hai,He has given me a gift,
6056,Main uske liye ek saree le aya hun,I brought a saree for her,
6057,Tumhari choti choti baton ka dhyan rakhta hun,I pay attention to your small talks,
6058,Usne mujhe phone kiya,He called me,
6059,Main tumse bahut pyar karta hun,I love you very much,
6060,Usne mera kyaal rakha hai,He has taken care of me,
6061,Main ek nayi duniya ki talaash mai hun,I am in search of a new world,
6062,Usne apni bachi hui khane ki biryani mujhe di,He gave me the leftover biryani,
6063,Tumne mujhe kabhi nahi samjha,You never understood me,
6064,Main khushi khushi tumhare sath chalunga,I will walk with you happily,
6065,Usne apna haath mere haath me diya,He held my hand,
6066,Main bina kisi kaaran ke dukhi hun,I am sad without any reason,
6067,Uske pass car hai,He has a car,
6068,Main unke pass games khelne aata hun,I go to their place to play games,
6069,Mujhe uski shakal bahut pasand hai,I like his face very much,
6070,Usne mujhe apna dil diya hai,He gave me his heart,
6071,Main aapke pas aane wala hun,I am coming to your place,
6072,Usne mere liye chai banai hai,He made tea for me,
6073,Main unhe thoda bahut samajhta hun,I understand them a little bit,
6074,Usne mujhe apni gali batayi hai,He told me his street,
6075,Main apne aap se kush nahi hun,I am not happy with myself,
6076,Uski shakal ko maine photo mai capture kar liya,I captured his face in the photo,
6077,Main unhe apna sab kuch samajhta hun,I consider them my everything,
6078,Usne mujhe bahut bar apne mitron ke saath bulaya hai,He has invited me many times with his friends,
6079,Main tumhare bina nahi reh sakta,I can't live without you,
6080,Usne mujhe apni kalam se kuch likha hai,He wrote something for me with his pen,
6081,Main aaj bahut bimar hun,I am very sick today,
6082,Usne mujhe kuch vishwas jataya hai,He has reassured me about something,
6083,Main unki shakal ko bahut dhyan se dekhta hun,I look at his face very closely,
6084,Usne mere aaspaas bahut pyar kiya hai,He has given a lot of love around me,
6085,Main unka kitna bhi intezaar kar sakta hun,I can wait for them as much as I can,
6086,Usne mere sath bahut badi dhokha kiya hai,He has cheated me in a big way,
6087,Main khushi khushi unke sath chalungi,I will go with them happily,
6088,Usne mujhe barbaad kar diya hai,He has ruined me,
6089,Main aapke sath bahut khush hun,I am very happy with you,
6090,Usne mujhe kabhi dhokha nahi diya hai,He has never cheated me,
6091,Main aaj bahut khush hun,I am very happy today,
6092,Usne mere liye apni saari ki ek tukdi mujhe di,He gave me a part of his saree,
6093,Main unhe kabhi bhul nahi paunga,I will never forget them,
6094,Usne mujhe dil ki gehraiyon se samjha hai,He has explained me from the depth of his heart,
6095,Main apni manzil tak pahunchunga,I will reach my destination,
6096,Usne mujhe apne liye chai banai hai,He made tea for himself and me,
6097,Main aaj bhi tumhare intezar mai hun,I am still waiting for you today,
6098,Uske pass ek nayi car hai,He has a new car,
6099,Main unke sath movie dekhne jata hun,I go with them to watch movies,
6100,Uski shakal se mujhe itna pyar ho gaya,I fell in love with his face,
6101,Usne mujhse kuch batein chupai hai,He has hidden something from me,
6102,Main uske dil mai samajh chuka hun,I have understood his heart,
6103,Usne mujhe bahut saari khushiyan di hai,He has given me a lot of happiness,
6104,Main unse kabhi nahi ladta hun,I never fight with them,
6105,Usne mujhse bahut badi dhokha kiya hai,He has cheated me in a big way,
6106,Main unhe kabhi bhul nahi sakta,I can never forget them,
6107,Usne mujhe kuch nayi cheezein sikhai hai,He has taught me some new things,
6108,Main apni sapno ko pura karunga,I will fulfill my dreams,
6109,Usne mujhe apne place pe bulaya hai,He has invited me to his place,
6110,Main unki shakal se mehfil banaunga,I will create a gathering from his face,
6111,Usne mujhe apni family se milwaya hai,He has introduced me to his family,
6112,Main unke bina bahut akela hun,I am very lonely without them,
6113,Usne mujhe ek book di hai,He gave me a book,
6114,Main apne aap ko sudhaarunga,I will improve myself,
6115,Usne mujhe apni aadat batayi hai,He told me about his habit,
6116,Main unse kabhi nahi nikalta,I never leave them,
6117,Usne mujhe kabhi bina koi kaaran ke nahi tadpaaya hai,He never bothered me without any reason,
6118,Main unke sath ek naya rishta banana chahta hun,I want to create a new relationship with them,
6119,Usne mujhse kuch nayi baatein batayi hai,He told me some new things,
6120,Main unhe hamesha yaad rakhunga,I will always remember them,
6121,Usne mujhe apni zindagi ka ek bahut bada hissa bataya hai,He told me a very big part of his life,
6122,Main unse kabhi juda nahi hona chahta hun,I never want to be separated from them,
6123,Usne mujhe apna dil diya hai,He has given me his heart,
6124,Main aaj bahut khush hun,I am very happy today,
6125,Usne mujhe kabhi dhokha nahi diya hai,He has never cheated me,
6126,Main unhe kabhi bhul nahi paunga,I will never forget them,
6127,Usne mujhe apna kharcha diya hai,He has given me his expenses,
6128,Main uska sath hamesha nibhaunga,I will always be true to him,
6129,Usne mujhe bahut cute sa tohfa diya hai,He has given me a very cute gift,
6130,Main unke sapno ko sach karunga,I will make their dreams come true,
6131,Usne mujhe unke sath chalne ke liye kaha hai,He has asked me to go with them,
6132,Main unhe kabhi nahi rok sakunga,I can never stop them,
6133,Usne mujhe apni yaado mai bithaya hai,He has put me in his memories,
6134,Main usse kabhi nahi bhoolunga,I will never forget him,
6135,Usne mujhe apne sath jane ke liye kaha hai,He has asked me to go with him,
6136,Main apne aap ko aur achha banaunga,I will make myself better,
6137,Usne mujhe apni aas ki ek khushi di hai,He has given me a joy of his own,
6138,Main unke bagair nahi reh sakta,I can't live without them,
6139,Usne mujhe apna sahara diya hai,He has given me his support,
6140,Main unke sath bahut khush hun,I am very happy with them,
6141,Usne mujhe apni zindagi ka raaz bataya hai,He has told me the secret of his life,
6142,Main unke liye kuch bahut special lekar aunga,I will bring something very special for them,
6143,Usne mujhe apne kitab ka ek hissa diya hai,He has given me a part of his book,
6144,Main unke sath bahut acche se samajhta hun,I understand them very well,
6145,Usne mujhe apna ghar dikhaya hai,He has shown me his house,
6146,Main unke sath bahut khush hun,I am very happy with them,
6147,Usne mujhe kabhi dhokha nahi diya hai,He has never cheated me,
6148,Main unhe kabhi bhul nahi paunga,I will never forget them,
6149,Usne mujhe bahut pyar se dekha hai,He has looked at me with a lot of love,
6150,Main unke sath apne sapno ko pura karunga,I will fulfill my dreams with them,
6151,Usne mujhe apna saath diya hai,He has given me his company,
6152,Main unke jaisa hona chahta hun,I want to be like them,
6153,Usne mujhe apni zindagi ka har ek hissa bataya hai,He has told me every part of his life,
6154,Main unhe kabhi nahi bhulunga,I will never forget them,
6155,Usne mujhe apne sath kuch samay bitane ke liye kahaa hai,He has asked me to spend some time with him,
6156,Main bahut khush hoon,I am very happy,
6157,Usne mujhe yaad kiya,He remembered me,
6158,Tum kahan ho?,Where are you?,
6159,Main kuch nahin jaanta,I don't know anything,
6160,Hum aaj nahin aa sakte,We can't come today,
6161,Tum kitni der tak rukoge?,How long will you wait?,
6162,Woh bahut busy hai,He is very busy,
6163,Main chahta hoon ki tum mere saath chalo,I want you to accompany me,
6164,Aap kitne baje tak aa sakte hain?,What time can you come?,
6165,Usne mujhe dhoka diya,He betrayed me,
6166,Aap kaise ho?,How are you?,
6167,Main tumhara shukriya ada karta hoon,I thank you,
6168,Main kal aunga,I will come tomorrow,
6169,Tumne mujhe bahut sunaya,You scolded me a lot,
6170,Main aage badh raha hoon,I am moving forward,
6171,Yeh kya hai?,What is this?,
6172,Tumhare paas kitne paise hain?,How much money do you have?,
6173,Woh kuch hamesha ke liye chala gaya,He went away forever,
6174,Aapne mujhe gale laga liya,You hugged me,
6175,Main tumse pyar karta hoon,I love you,
6176,Tumhare haath gande hain,Your hands are dirty,
6177,Usne kaha ki woh bahut khush hai,He said he is very happy,
6178,Main kal subah aunga,I will come tomorrow morning,
6179,Tum mujhe bhool gaye,You forgot me,
6180,Woh mujhse baat nahin karega,He won't talk to me,
6181,Aap mere saath chalenge?,Will you come with me?,
6182,Usne mujhe apna number diya,He gave me his number,
6183,Tum wapas kab aaoge?,When will you come back?,
6184,Yeh tumhara hai,This is yours,
6185,Main yahaan nahin ruk sakta,I can't stay here,
6186,Woh abhi tak ghar nahin aaya hai,He hasn't come home yet,
6187,Tumne meri madad ki,You helped me,
6188,Usne mujhe bahut pyar kiya,He loved me a lot,
6189,Main phone karunga,I will call,
6190,Tumne mujhe kuch diya?,Did you give me something?,
6191,Woh kahan hai?,Where is he?,
6192,Aap kahin jaa rahe hain?,Are you going somewhere?,
6193,Usne mujhe apne saathi ke saath dekh liya,He saw me with his companion,
6194,Main yahaan se chala jaoonga,I will leave from here,
6195,Tum mera saathi banogi?,Will you be my companion?,
6196,Woh us ladki se pyar karta hai,He loves that girl,
6197,Tumhari aankhen bahut khoobsurat hain,Your eyes are very beautiful,
6198,Main uska number bhool gaya,I forgot his number,
6199,Aap mere liye kuch la sakte hain?,Can you bring me something?,
6200,Meri tabiyaat kharaab hai,I am not feeling well,
6201,Woh ladka bahut shararti hai,That boy is very mischievous,
6202,Tum mujhe chhodkar nahin jaaoge,You won't leave me behind,
6203,Usne mujhe samajhaya,He explained to me,
6204,Main tumhe nahin jaanta,I don't know you,
6205,Woh bahut achcha jiwan vyatit karta hai,He spends a very good life,
6206,Kya tum mujhe apna number de sakte ho?,Can you give me your number?,
6207,Wo mere liye bahut important hai,He is very important for me,
6208,Main tumhara saathi hoon,I am your companion,
6209,Kya tumne didi se baat ki?,Did you talk to sister?,
6210,Tumhara shukriya ada karta hoon,I thank you,
6211,Usne mujhe apna ghar dikhaaya,He showed me his home,
6212,Main usse rok nahin sakta,I can't stop him,
6213,Tumne mujhe kitna pyar diya hai,How much love have you given me?,
6214,Woh tumse pyar karta hai,He loves you,
6215,Main tumse milna chahta hoon,I want to meet you,
6216,Aapka naam kya hai?,What is your name?,
6217,Usne mujhe bola ki woh tumse pyar karta hai,He told me that he loves you,
6218,Tum kya chahte ho?,What do you want?,
6219,Main usse milna chahta hoon,I want to meet him,
6220,Woh bahut smart hai,He is very smart,
6221,Aap kahan se ho?,Where are you from?,
6222,Main tumhe kabhi nahin bhulunga,I will never forget you,
6223,Tum mere liye khaas ho,You are special for me,
6224,Usne mujhe bahut gussa diya,He made me very angry,
6225,Main bahut thak gaya hoon,I am very tired,
6226,Tum meri zindagi ho,You are my life,
6227,Aap kya kar sakte hain?,What can you do?,
6228,Usne mujhe bahut khilaaya,He fed me a lot,
6229,Main tumhare saath hamesha rahunga,I will always be with you,
6230,Tum mere liye bahut khoobsurat ho,You are very beautiful for me,
6231,Woh mujhse baat nahin karega,He won't talk to me,
6232,Main abhi aa raha hoon,I am coming now,
6233,Tumne mere liye kya kiya?,What did you do for me?,
6234,Usne mujhe aisi baat kahi ki main bahut gussa ho gaya,He said something to me and I got very angry,
6235,Main tumhari madad karunga,I will help you,
6236,Tumne usse dekha?,Did you see him?,
6237,Woh bahut hi talented hai,He is very talented,
6238,Main usse milna chahta hoon,I want to meet him,
6239,Tum mujhse kitni der tak baat kar sakte ho?,How long can you talk to me?,
6240,Usne mere saath bahut hi behave kiya,He behaved very well with me,
6241,Main tumse pyar karta hoon,I love you,
6242,Tum mere saath chalna chahti ho?,Do you want to come with me?,
6243,Usne mujhe aise dekha ki main chhupa nahin paaya,He looked at me in a way that I couldn't hide,
6244,Main tumhe kabhi nahin chhodunga,I will never leave you,
6245,Tum mujhe bahut yaad aate ho,I miss you a lot,
6246,Usne mujhe kuch gift diya,He gave me some gift,
6247,Main us se nahin milna chahta,I don't want to meet him,
6248,Woh kahin gayab hogaya hai,He has disappeared somewhere,
6249,Aapke liye maine kuch laaya hoon,I have brought something for you,
6250,Main tumhara bahut shukriya karta hoon,I thank you very much,
6251,Tum mujhe bahut khush kar dete ho,You make me very happy,
6252,Usne mujhe bahut bhojan khilaaya,He fed me a lot of food,
6253,Main aapse baat karna chahta hoon,I want to talk to you,
6254,Tum mere liye bahut important ho,You are very important for me,
6255,Usne mujhe zyada baat nahin ki,He didn't talk to me much,
